id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
4,0,0.323,0.142,0.122,0.007,0.024,0.01,0.083,0.073,0.042,0,0,0,0.191,0.185,0.067,0.003,0.012,0.006,0.035,0.095,0.09,0,0,7247900.4,288
12,0.022,0.086,0.032,0.29,0,0.011,0.032,0.172,0.043,0.118,0,0,0.007,0.079,0.086,0.188,0,0.003,0.317,0.147,0.005,0.047,0,0,2124038.65,93
16,0.2,0,0,0.2,0,0.1,0,0.1,0,0,0,0.1,0.08,0,0,0.351,0,0.178,0,0.032,0,0,0,0.018,168146.87,20
24,0,0.194,0.019,0,0,0.049,0.01,0,0,0,0,0,0,0.21,0.048,0,0,0.3,0.013,0,0,0,0,0,1065584.46,103
28,0,0.474,0,0.158,0,0.105,0,0.105,0,0.158,0,0,0,0.596,0,0.157,0,0.127,0,0.03,0,0.091,0,0,245306.67,19
31,0,0.417,0.028,0.083,0.056,0.028,0.083,0,0,0.306,0,0,0,0.481,0.033,0.061,0.154,0.04,0.146,0,0,0.085,0,0,792504.85,36
34,0,0,0,0.167,0.583,0,0.042,0,0,0.083,0,0,0,0,0,0.141,0.662,0,0.032,0,0,0.037,0,0,582345.59,24
47,0,0,0,0.26,0.02,0.16,0.04,0.08,0,0.1,0.02,0,0,0,0,0.208,0.015,0.109,0.012,0.047,0,0.044,0.313,0,1266194.76,50
87,0,0,0,0.238,0,0,0,0,0,0.524,0,0,0,0,0,0.004,0,0,0,0,0,0.248,0,0,313863.97,21
104,0,0.177,0,0.235,0.235,0,0,0,0,0,0,0,0,0.179,0,0.188,0.341,0,0,0,0,0,0,0,321894.45,17
109,0,0.356,0,0.067,0,0,0,0,0,0.578,0,0,0,0.544,0,0.096,0,0,0,0,0,0.36,0,0,389390.96,45
132,0,0.523,0.177,0.124,0.011,0.056,0.008,0.011,0,0,0.019,0.004,0,0.096,0.11,0.139,0.006,0.037,0.003,0.001,0,0,0.558,0.002,5601126.23,266
162,0,0,0.091,0.091,0,0,0,0,0,0,0.091,0,0,0,0.005,0.025,0,0,0,0,0,0,0.863,0,2946227.49,11
166,0,0.027,0,0.324,0,0,0,0,0,0.595,0.027,0,0,0.064,0,0.361,0,0,0,0,0,0.128,0.436,0,1397538.47,37
174,0,0.246,0.279,0,0.016,0,0.033,0.033,0,0.344,0,0.016,0,0.099,0.139,0,0.006,0,0.005,0.001,0,0.709,0,0.006,2654182.79,61
197,0,0.029,0.706,0.147,0,0.029,0.059,0,0,0,0,0,0,0.019,0.773,0.148,0,0.008,0.034,0,0,0,0,0,1722778.46,68
202,0.026,0.237,0.263,0,0.053,0,0.079,0,0,0.237,0,0,0.02,0.047,0.239,0,0.011,0,0.043,0,0,0.422,0,0,1100075.86,38
205,0,0,0,0.5,0.214,0.286,0,0,0,0,0,0,0,0,0,0.133,0.183,0.684,0,0,0,0,0,0,205367.76,14
213,0,0.179,0.286,0.107,0,0.036,0.071,0.286,0,0,0,0,0,0.29,0.317,0.018,0,0.039,0.05,0.113,0,0,0,0,385858.57,28
220,0,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0.168,0,0.011,0,0,0,0,0,0,0,0,57038.09,10
221,0,0,0,0,0.111,0,0.056,0,0,0.833,0,0,0,0,0,0,0.51,0,0.04,0,0,0.45,0,0,187671.03,18
230,0.014,0.541,0,0.149,0.169,0.068,0,0.047,0,0,0,0,0,0.518,0,0.103,0.306,0.04,0,0.019,0,0,0,0,3120057.93,148
245,0,0.177,0.059,0,0,0,0,0,0,0.706,0,0,0,0.002,0.001,0,0,0,0,0,0,0.222,0,0,1958115.48,17
249,0,0.03,0.836,0.09,0,0,0,0,0.03,0,0.015,0,0,0.104,0.669,0,0,0,0,0,0.001,0,0.227,0,1358648.14,67
257,0.032,0.387,0,0.097,0.161,0.129,0,0.032,0,0,0,0,0.12,0.201,0,0.183,0.192,0.121,0,0.028,0,0,0,0,470967.45,31
